Bookmaker,Outcome,Back Odds,Lay Odds,Edge %,Stake
Betfair,—,10.5,0,80.5,0
Smarkets,—,8.0,0,75.0,0
Unibet (NL),—,5.75,0,65.1,0
Betfair,—,10.5,0,80.5,0
Smarkets,—,8.0,0,75.0,0
Unibet (NL),—,5.75,0,65.1,0
Betfair,—,10.5,0,80.5,0
Smarkets,—,8.0,0,75.0,0
Unibet (NL),—,5.75,0,65.1,0
Betfair,—,10.5,0,80.5,0
Smarkets,—,8.0,0,75.0,0
Unibet (NL),—,5.75,0,65.1,0
Betfair,—,10.5,0,80.5,0
Smarkets,—,8.0,0,75.0,0
Unibet (NL),—,5.75,0,65.1,0
Betfair,—,10.5,0,80.5,0
Smarkets,—,8.0,0,75.0,0
Unibet (NL),—,5.75,0,65.1,0
Betfair,—,10.5,0,80.5,0
Smarkets,—,8.0,0,75.0,0
Unibet (NL),—,5.75,0,65.1,0
Betfair,—,10.5,0,80.5,0
Smarkets,—,8.0,0,75.0,0
Unibet (NL),—,5.75,0,65.1,0
Betfair,—,10.5,0,80.5,0
Smarkets,—,8.0,0,75.0,0
Unibet (NL),—,5.75,0,65.1,0
Betfair,—,10.5,0,80.5,0
Smarkets,—,8.0,0,75.0,0
Unibet (NL),—,5.75,0,65.1,0
