Sport,League,Match,Book,Price,Time
soccer,EPL,Arsenal vs Nottingham Forest,Parions Sport (FR),1.35,2025-09-06 10:21
soccer,EPL,Arsenal vs Nottingham Forest,Unibet (FR),7.05,2025-09-06 10:21
soccer,EPL,Arsenal vs Nottingham Forest,Paddy Power,1.36,2025-09-06 10:21
soccer,EPL,Arsenal vs Nottingham Forest,Parions Sport (FR),1.35,2025-09-06 10:21
soccer,EPL,Arsenal vs Nottingham Forest,Unibet (FR),7.05,2025-09-06 10:21
soccer,EPL,Arsenal vs Nottingham Forest,Paddy Power,1.36,2025-09-06 10:21
soccer,EPL,Arsenal vs Nottingham Forest,Parions Sport (FR),1.35,2025-09-06 10:21
soccer,EPL,Arsenal vs Nottingham Forest,Unibet (FR),7.05,2025-09-06 10:21
soccer,EPL,Arsenal vs Nottingham Forest,Paddy Power,1.36,2025-09-06 10:21
soccer,EPL,Arsenal vs Nottingham Forest,Parions Sport (FR),1.35,2025-09-06 10:21
soccer,EPL,Arsenal vs Nottingham Forest,Unibet (FR),7.05,2025-09-06 10:21
soccer,EPL,Arsenal vs Nottingham Forest,Paddy Power,1.36,2025-09-06 10:21
soccer,EPL,Arsenal vs Nottingham Forest,Parions Sport (FR),1.35,2025-09-06 10:21
soccer,EPL,Arsenal vs Nottingham Forest,Unibet (FR),7.05,2025-09-06 10:21
soccer,EPL,Arsenal vs Nottingham Forest,Paddy Power,1.36,2025-09-06 10:21
soccer,EPL,Arsenal vs Nottingham Forest,Parions Sport (FR),1.35,2025-09-06 10:21
soccer,EPL,Arsenal vs Nottingham Forest,Unibet (FR),7.05,2025-09-06 10:21
soccer,EPL,Arsenal vs Nottingham Forest,Paddy Power,1.36,2025-09-06 10:21
soccer,EPL,Arsenal vs Nottingham Forest,Parions Sport (FR),1.35,2025-09-06 10:21
soccer,EPL,Arsenal vs Nottingham Forest,Unibet (FR),7.05,2025-09-06 10:21
soccer,EPL,Arsenal vs Nottingham Forest,Paddy Power,1.36,2025-09-06 10:21
soccer,EPL,Arsenal vs Nottingham Forest,Parions Sport (FR),1.35,2025-09-06 10:21
soccer,EPL,Arsenal vs Nottingham Forest,Unibet (FR),7.05,2025-09-06 10:21
soccer,EPL,Arsenal vs Nottingham Forest,Paddy Power,1.36,2025-09-06 10:21
soccer,EPL,Arsenal vs Nottingham Forest,Parions Sport (FR),1.35,2025-09-06 10:21
soccer,EPL,Arsenal vs Nottingham Forest,Unibet (FR),7.05,2025-09-06 10:21
soccer,EPL,Arsenal vs Nottingham Forest,Paddy Power,1.36,2025-09-06 10:21
soccer,EPL,Arsenal vs Nottingham Forest,Parions Sport (FR),1.35,2025-09-06 10:21
soccer,EPL,Arsenal vs Nottingham Forest,Unibet (FR),7.05,2025-09-06 10:21
soccer,EPL,Arsenal vs Nottingham Forest,Paddy Power,1.36,2025-09-06 10:21
soccer,EPL,Arsenal vs Nottingham Forest,Parions Sport (FR),1.35,2025-09-06 10:21
soccer,EPL,Arsenal vs Nottingham Forest,Unibet (FR),7.05,2025-09-06 10:21
soccer,EPL,Arsenal vs Nottingham Forest,Paddy Power,1.36,2025-09-06 10:21
soccer,EPL,Arsenal vs Nottingham Forest,Parions Sport (FR),1.35,2025-09-06 10:21
soccer,EPL,Arsenal vs Nottingham Forest,Unibet (FR),7.05,2025-09-06 10:21
soccer,EPL,Arsenal vs Nottingham Forest,Paddy Power,1.36,2025-09-06 10:21
